cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,39652,1150785426
lambdac_combined_momentum,0,0,39652,1150785426
lambdac_charge,184,575200435,39468,575584991
lambdac_mass_limit,251,560371382,39217,15213609
lambdac_vtx_chi2_ndof,276,13933499,38941,1280110
lambdac_vtx_chi2_distance,8220,605869,30721,674241
lambdac_vtx_dira,575,320134,30146,354107
lambdac_final_mass_cut,559,281126,29587,72981
xi_track_cuts,0,0,14305,36823698
xi_miss_combo,0,0,14305,36823698
xi_charge_conservation,0,0,14305,36823698
xi_charge,1,17869357,14304,18954341
xi_minimum_momentum,0,0,14304,18954341
xi_mass,4,17772396,14300,1181945
xi_vtx_chi2_ndof,1225,892243,13075,289702
xi_vtx_chi2_distance,330,6741,12745,282961
xi_vtx_dira,0,0,12745,282961
xi_final_mass,16,241738,12739,171862
