cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,39652,1150785426,1.0,0.39669851433144915,3.44552797449553e-05
lambdac_mass_limit,251,560371382,39217,15213609,0.993640417553461,0.3923465559501776,0.0025711300974652174
lambdac_vtx_chi2_ndof,276,13933499,38941,1280110,0.9929622357651019,0.389585313391026,0.02952198209167045
lambdac_vtx_chi2_distance,8220,605869,30721,674241,0.7889114301122211,0.3073483067380321,0.04357823542261852
lambdac_vtx_dira,575,320134,30146,354107,0.9812831613554246,0.3015957180731329,0.07845351890551278
lambdac_final_mass_cut,559,281126,29587,72981,0.981456909706097,0.2960032014406483,0.28846228843303956
xi_track_cuts,0,0,14305,36823698,1.0,0.1431144014806663,0.00038832180995261877
xi_mass,4,17772396,14300,1181945,0.9997203579418344,0.14306437897053675,0.011954072953282982
xi_vtx_chi2_ndof,1225,892243,13075,289702,0.9143356643356644,0.13080886398879496,0.04318359716887346
xi_vtx_chi2_distance,330,6741,12745,282961,0.9747609942638623,0.1275073783202441,0.0431002414560408
xi_vtx_dira,0,0,12745,282961,1.0,0.1275073783202441,0.0431002414560408
xi_final_mass,16,241738,12739,171862,0.9987455899647197,0.12744735130808865,0.06900829356287344
