cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,1400,5869552,1.0,0.28,0.00023846217785463073
lambdac_combined_momentum,98,2262356,1302,3607196,0.93,0.2604,0.000360814942948562
lambdac_charge,6,1800632,1296,1806564,0.9953917050691244,0.2592,0.0007168696691115462
lambdac_mass_limit,11,1703307,1285,103257,0.9915123456790124,0.257,0.01229171050869507
lambdac_vtx_chi2_ndof,34,96679,1251,6578,0.9735408560311284,0.2502,0.15979052241665603
lambdac_vtx_chi2_distance,3,46,1248,6532,0.9976019184652278,0.2496,0.16041131105398457
lambdac_vtx_dira,9,2340,1239,4192,0.9927884615384616,0.2478,0.22813478180813845
lambdac_final_mass_cut,9,3842,1230,350,0.9927360774818402,0.246,0.7784810126582279
xi_track_cuts,0,0,516,3442872,1.0,0.1032,0.00014985241279809303
xi_miss_combo,0,0,516,3442872,1.0,0.1032,0.00014985241279809303
xi_charge_conservation,0,0,516,3442872,1.0,0.1032,0.00014985241279809303
xi_charge,0,1792006,516,1650866,1.0,0.1032,0.00031246555914985147
xi_minimum_momentum,0,0,516,1650866,1.0,0.1032,0.00031246555914985147
xi_mass,2,1595100,514,55766,0.9961240310077519,0.1028,0.009132906894100923
xi_vtx_chi2_ndof,0,25700,514,30066,1.0,0.1028,0.016808371484630477
xi_vtx_chi2_distance,2,146,512,29920,0.9961089494163424,0.1024,0.016824395373291272
xi_vtx_dira,0,0,512,29920,1.0,0.1024,0.016824395373291272
xi_final_mass,18,27816,512,29920,0.9660377358490566,0.1024,0.016824395373291272
