cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,24405,80917799
lambdac_combined_momentum,0,0,24405,80917799
lambdac_charge,111,40396306,24294,40521493
lambdac_mass_limit,158,38643361,24136,1878132
lambdac_vtx_chi2_ndof,636,1767513,23500,110619
lambdac_vtx_chi2_distance,401,35864,23099,74755
lambdac_vtx_dira,117,28766,22982,45989
lambdac_final_mass_cut,351,36237,22631,9752
xi_track_cuts,0,0,9154,72874825
xi_miss_combo,0,0,9154,72874825
xi_charge_conservation,0,0,9154,72874825
xi_charge,0,34252065,9154,38622760
xi_minimum_momentum,0,0,9154,38622760
xi_mass,158,38337366,8996,285394
xi_vtx_chi2_ndof,1700,174532,7296,110862
xi_vtx_chi2_distance,48,8500,7248,102362
xi_vtx_dira,0,0,7248,102362
xi_final_mass,48,72082,7238,73632
