cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,24405,80917799,1.0,0.24464939100796954,0.0003015114340103712
lambdac_mass_limit,158,38643361,24136,1878132,0.9934963365440026,0.2419527843215879,0.012688012414654507
lambdac_vtx_chi2_ndof,636,1767513,23500,110619,0.97364932051707,0.23557716405192722,0.1752175307003482
lambdac_vtx_chi2_distance,401,35864,23099,74755,0.9829361702127659,0.23155731542278582,0.23605575653524638
lambdac_vtx_dira,117,28766,22982,45989,0.9949348456643144,0.2303844418826124,0.3332125096054864
lambdac_final_mass_cut,351,36237,22631,9752,0.9847271777913149,0.22686582126209212,0.6988543371522095
xi_track_cuts,0,0,9154,72874825,1.0,0.09176482381835498,0.00012559687500047164
xi_mass,158,38337366,8996,285394,0.9827397858859515,0.09018094331111222,0.030558103196440096
xi_vtx_chi2_ndof,1700,174532,7296,110862,0.8110271231658515,0.07313919101799408,0.061747829177880464
xi_vtx_chi2_distance,48,8500,7248,102362,0.993421052631579,0.07265801212971781,0.06612535352613813
xi_vtx_dira,0,0,7248,102362,1.0,0.07265801212971781,0.06612535352613813
xi_final_mass,48,72082,7238,73632,0.9934120230579193,0.07255776652799359,0.08950166934586373
