NumFiles,MinPT,MinP,MinIPChi2,#Lambdas,#XiLambdas,#XiKaons,#XiPions,#Xis,#Pion,#Kaon,#Proton
10,50,1400,1,0.995591998040888,0.9955225992940803,0.9979716024340771,0.9095580678314491,0.8471177944862155,524859,82911,62621
10,50,2000,1,0.9892037729794546,0.9890337992288921,0.9939148073022313,0.8376156217882836,0.7268170426065163,473607,78039,59542
10,50,1200,1,0.9961662205183203,0.9961058622212883,0.9979716024340771,0.9301130524152107,0.87468671679198,542974,84357,63604
10,50,800,1,0.9961662205183203,0.9961058622212883,1.0,0.9701952723535457,0.949874686716792,576985,86705,65215
10,50,1600,1,0.9914542184240971,0.9913196752597879,0.9959432048681541,0.8869475847893115,0.8020050125313283,507413,81310,61593
10,50,1800,1,0.9903142179174302,0.9901617268013604,0.9959432048681541,0.8643371017471737,0.7669172932330827,490205,79708,60598
10,50,2200,1,0.9822539921128853,0.9819746023304785,0.9878296146044625,0.8057553956834532,0.6716791979949874,457855,76408,58464
10,100,1200,1,0.9946419976186656,0.9945576422453907,0.9959432048681541,0.8890030832476875,0.8095238095238095,523520,82966,62689
10,100,1000,1,0.9946419976186656,0.9945576422453907,0.9959432048681541,0.9075025693730729,0.8395989974937343,538292,84055,63398
10,100,800,1,0.9946419976186656,0.9945576422453907,0.9959432048681541,0.920863309352518,0.8696741854636592,551587,84964,64001
10,100,1800,1,0.9887899950177755,0.9886135068254629,0.9939148073022313,0.8345323741007195,0.7192982456140351,476709,78705,60008
10,100,1400,1,0.9940677751412333,0.9939743793181828,0.9959432048681541,0.8715313463514902,0.7844611528822055,507716,81669,61859
10,100,2000,1,0.9876795500798,0.9874855792529946,0.9918864097363083,0.8119218910585817,0.6892230576441103,461550,77140,59018
10,100,1600,1,0.9899299955244425,0.9897714552838903,0.9939148073022313,0.8540596094552929,0.7518796992481203,492211,80201,60922
10,100,2200,1,0.9807297692132307,0.980426382354581,0.9858012170385395,0.7852004110996916,0.6416040100250626,447040,75594,58001
10,150,800,1,0.9863579939368862,0.9861432167808175,0.9837728194726166,0.841726618705036,0.7192982456140351,508463,81867,61966
10,150,1000,1,0.9863579939368862,0.9861432167808175,0.9837728194726166,0.8365878725590956,0.7092731829573935,499644,81250,61570
10,150,1400,1,0.985783771459454,0.9855599538536096,0.9837728194726166,0.8129496402877698,0.681704260651629,475656,79267,60334
10,150,1200,1,0.9863579939368862,0.9861432167808175,0.9837728194726166,0.8252826310380267,0.6942355889724311,488358,80374,61003
10,150,1800,1,0.9805059913359961,0.9801990813608896,0.9837728194726166,0.7800616649537513,0.6290726817042607,449500,76630,58703
10,150,1600,1,0.981645991842663,0.9813570298193172,0.9837728194726166,0.7975334018499486,0.656641604010025,462779,77970,59512
10,150,2200,1,0.9724457655314513,0.9720119568900077,0.9756592292089249,0.7440904419321686,0.5739348370927319,423736,73786,56856
10,150,2000,1,0.9793955463980206,0.9790711537884214,0.9817444219066938,0.7656731757451182,0.6115288220551378,436460,75224,57797
10,200,1000,1,0.9726484322881921,0.9707339248877433,0.9716024340770791,0.7574511819116135,0.5614035087719298,450708,77268,59076
10,200,800,1,0.9726484322881921,0.9707339248877433,0.9716024340770791,0.7595066803699897,0.5639097744360902,454438,77569,59241
