NumFiles,MinPT,MinP,MinIPChi2,#LambdaCandidates,#Lambdas,#XiLambdas,#XiKaons,#XiPions,#Xis,#Pion,#Kaon,#Proton
10,510.0,3250,0.5,36703930,343,337,350,337,41,95.0,31.0,25.0
10,580.0,3250,0.5,24565564,316,311,308,280,23,90.0,28.0,23.0
10,650.0,3250,0.5,16257537,287,285,286,232,20,77.0,25.0,19.0
10,720.0,3250,0.5,10763256,248,247,248,197,12,70.0,21.0,18.0
10,790.0,3250,0.5,7110805,221,220,215,161,8,63.0,21.0,15.0
10,860.0,3250,0.5,4727770,197,196,191,137,6,54.0,19.0,15.0
10,930.0,3250,0.5,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,3250,0.5,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,2250,0.5,143187094,416,408,448,538,123,196.0,49.0,38.0
10,370.0,2250,0.5,99707357,397,390,421,475,82,161.0,41.0,33.0
10,440.0,2250,0.5,66384072,382,374,396,397,57,127.0,39.0,29.0
10,510.0,2250,0.5,42955082,350,344,355,345,42,102.0,32.0,27.0
10,580.0,2250,0.5,27401324,321,316,311,284,24,93.0,29.0,23.0
10,650.0,2250,0.5,17323934,290,288,286,234,21,78.0,25.0,19.0
10,720.0,2250,0.5,11072742,249,248,248,198,12,71.0,21.0,18.0
10,790.0,2250,0.5,7162269,221,220,215,162,8,64.0,21.0,15.0
10,860.0,2250,0.5,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,2250,0.5,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,2250,0.5,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,3000,0.5,117007903,410,402,436,511,115,176.0,45.0,34.0
10,370.0,3000,0.5,83728585,392,385,413,464,80,147.0,38.0,31.0
10,440.0,3000,0.5,57384960,377,369,389,392,56,119.0,37.0,27.0
10,510.0,3000,0.5,38497502,345,339,352,341,41,96.0,31.0,25.0
10,580.0,3000,0.5,25551565,317,312,309,283,23,91.0,28.0,23.0
10,650.0,3000,0.5,16748047,288,286,286,233,20,78.0,25.0,19.0
10,720.0,3000,0.5,10972840,248,247,248,198,12,71.0,21.0,18.0
10,790.0,3000,0.5,7160713,221,220,215,162,8,64.0,21.0,15.0
10,860.0,3000,0.5,4727770,197,196,191,137,6,54.0,19.0,15.0
10,930.0,3000,0.5,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,3000,0.5,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,2750,0.5,125616330,413,405,442,517,116,184.0,49.0,35.0
10,370.0,2750,0.5,89106075,395,388,416,468,81,153.0,41.0,32.0
10,440.0,2750,0.5,60571846,380,372,392,395,57,123.0,39.0,28.0
10,510.0,2750,0.5,40290279,348,342,354,343,42,98.0,32.0,26.0
