NumFiles,MinPT,MinP,MinIPChi2,#Lambdas,#XiLambdas,#XiKaons,#XiPions,#Xis,#Pion,#Kaon,#Proton
10,50,1000,7,0.9978448275862069,0.9027777777777778,0.9979716024340771,0.9527235354573484,0.9097744360902256,280885,42507,33390
10,50,2200,7,0.9827586206896551,0.8888888888888888,0.9878296146044625,0.8057553956834532,0.6716791979949874,229723,37969,29989
10,50,2000,7,0.9892241379310345,0.8948412698412699,0.9939148073022313,0.8376156217882836,0.7268170426065163,237584,38803,30545
10,50,1800,7,0.9913793103448276,0.8968253968253969,0.9959432048681541,0.8643371017471737,0.7669172932330827,245825,39604,31103
10,50,800,7,0.9978448275862069,0.9027777777777778,1.0,0.9701952723535457,0.949874686716792,289271,43063,33857
10,50,1600,7,0.9935344827586207,0.8988095238095238,0.9959432048681541,0.8869475847893115,0.8020050125313283,254507,40406,31656
10,50,1200,7,0.9978448275862069,0.9027777777777778,0.9979716024340771,0.9301130524152107,0.87468671679198,272263,41914,32843
10,50,1400,7,0.9956896551724138,0.9007936507936508,0.9979716024340771,0.9095580678314491,0.8471177944862155,263144,41221,32263
10,100,2000,7,0.9870689655172413,0.8928571428571429,0.9918864097363083,0.8119218910585817,0.6892230576441103,231452,38366,30262
10,100,800,7,0.9956896551724138,0.9007936507936508,0.9959432048681541,0.920863309352518,0.8696741854636592,276430,42208,33146
10,100,1400,7,0.9935344827586207,0.8988095238095238,0.9959432048681541,0.8715313463514902,0.7844611528822055,254494,40603,31850
10,100,1800,7,0.9892241379310345,0.8948412698412699,0.9939148073022313,0.8345323741007195,0.7192982456140351,238983,39118,30793
10,100,1200,7,0.9956896551724138,0.9007936507936508,0.9959432048681541,0.8890030832476875,0.8095238095238095,262422,41227,32332
10,100,1600,7,0.9913793103448276,0.8968253968253969,0.9939148073022313,0.8540596094552929,0.7518796992481203,246798,39865,31297
10,100,2200,7,0.9806034482758621,0.8869047619047619,0.9858012170385395,0.7852004110996916,0.6416040100250626,224219,37572,29734
10,100,1000,7,0.9956896551724138,0.9007936507936508,0.9959432048681541,0.9075025693730729,0.8395989974937343,269725,41754,32787
10,150,1000,7,0.9870689655172413,0.8928571428571429,0.9837728194726166,0.8365878725590956,0.7092731829573935,250668,40355,31783
10,150,800,7,0.9870689655172413,0.8928571428571429,0.9837728194726166,0.841726618705036,0.7192982456140351,255161,40667,32008
10,150,1800,7,0.9806034482758621,0.8869047619047619,0.9837728194726166,0.7800616649537513,0.6290726817042607,225528,38084,30120
10,150,2000,7,0.978448275862069,0.8849206349206349,0.9817444219066938,0.7656731757451182,0.6115288220551378,219048,37415,29636
10,150,1200,7,0.9870689655172413,0.8928571428571429,0.9837728194726166,0.8252826310380267,0.6942355889724311,245055,39935,31425
10,150,1400,7,0.9849137931034483,0.8908730158730159,0.9837728194726166,0.8129496402877698,0.681704260651629,238675,39406,31040
