NumFiles,MinPT,MinP,MinIPChi2,#LambdaCandidates,#Lambdas,#XiLambdas,#XiKaons,#XiPions,#Xis,#Pion,#Kaon,#Proton
10,300.0,500,2.0,172059272,421,412,450,566,129,215.0,51.0,38.0
10,370.0,500,2.0,110949764,400,392,421,491,86,171.0,42.0,33.0
10,440.0,500,2.0,69867101,382,374,396,408,58,131.0,39.0,29.0
10,510.0,500,2.0,43616886,350,344,355,349,42,103.0,32.0,27.0
10,580.0,500,2.0,27420523,321,316,311,284,24,93.0,29.0,23.0
10,650.0,500,2.0,17323334,290,288,286,234,21,78.0,25.0,19.0
10,720.0,500,2.0,11072346,249,248,248,198,12,71.0,21.0,18.0
10,790.0,500,2.0,7161922,221,220,215,162,8,64.0,21.0,15.0
10,860.0,500,2.0,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,500,2.0,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,500,2.0,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,750,2.0,172059272,421,412,450,566,129,215.0,51.0,38.0
10,370.0,750,2.0,110949764,400,392,421,491,86,171.0,42.0,33.0
10,440.0,750,2.0,69867101,382,374,396,408,58,131.0,39.0,29.0
10,510.0,750,2.0,43616886,350,344,355,349,42,103.0,32.0,27.0
10,580.0,750,2.0,27420523,321,316,311,284,24,93.0,29.0,23.0
10,650.0,750,2.0,17323334,290,288,286,234,21,78.0,25.0,19.0
10,720.0,750,2.0,11072346,249,248,248,198,12,71.0,21.0,18.0
10,790.0,750,2.0,7161922,221,220,215,162,8,64.0,21.0,15.0
10,860.0,750,2.0,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,750,2.0,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,750,2.0,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,1000,2.0,172059272,421,412,450,566,129,215.0,51.0,38.0
10,370.0,1000,2.0,110949764,400,392,421,491,86,171.0,42.0,33.0
10,440.0,1000,2.0,69867101,382,374,396,408,58,131.0,39.0,29.0
10,510.0,1000,2.0,43616886,350,344,355,349,42,103.0,32.0,27.0
10,580.0,1000,2.0,27420523,321,316,311,284,24,93.0,29.0,23.0
10,650.0,1000,2.0,17323334,290,288,286,234,21,78.0,25.0,19.0
10,720.0,1000,2.0,11072346,249,248,248,198,12,71.0,21.0,18.0
10,790.0,1000,2.0,7161922,221,220,215,162,8,64.0,21.0,15.0
10,860.0,1000,2.0,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,1000,2.0,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,1000,2.0,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,1500,2.0,166840972,421,412,450,565,129,209.0,50.0,38.0
10,370.0,1500,2.0,110697195,400,392,421,491,86,169.0,42.0,33.0
10,440.0,1500,2.0,69867101,382,374,396,408,58,131.0,39.0,29.0
10,510.0,1500,2.0,43616886,350,344,355,349,42,103.0,32.0,27.0
10,580.0,1500,2.0,27420523,321,316,311,284,24,93.0,29.0,23.0
10,650.0,1500,2.0,17323334,290,288,286,234,21,78.0,25.0,19.0
10,720.0,1500,2.0,11072346,249,248,248,198,12,71.0,21.0,18.0
10,790.0,1500,2.0,7161922,221,220,215,162,8,64.0,21.0,15.0
10,860.0,1500,2.0,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,1500,2.0,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,1500,2.0,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,1250,2.0,171331255,421,412,450,566,129,215.0,51.0,38.0
10,370.0,1250,2.0,110946358,400,392,421,491,86,171.0,42.0,33.0
10,440.0,1250,2.0,69867101,382,374,396,408,58,131.0,39.0,29.0
10,510.0,1250,2.0,43616886,350,344,355,349,42,103.0,32.0,27.0
10,580.0,1250,2.0,27420523,321,316,311,284,24,93.0,29.0,23.0
10,650.0,1250,2.0,17323334,290,288,286,234,21,78.0,25.0,19.0
10,720.0,1250,2.0,11072346,249,248,248,198,12,71.0,21.0,18.0
10,790.0,1250,2.0,7161922,221,220,215,162,8,64.0,21.0,15.0
10,860.0,1250,2.0,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,1250,2.0,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,1250,2.0,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,1750,2.0,160010471,421,412,450,559,127,205.0,50.0,38.0
10,370.0,1750,2.0,108247741,400,392,421,489,85,168.0,42.0,33.0
10,440.0,1750,2.0,69748463,382,374,396,408,58,131.0,39.0,29.0
10,510.0,1750,2.0,43616886,350,344,355,349,42,103.0,32.0,27.0
10,580.0,1750,2.0,27420523,321,316,311,284,24,93.0,29.0,23.0
10,650.0,1750,2.0,17323334,290,288,286,234,21,78.0,25.0,19.0
10,720.0,1750,2.0,11072346,249,248,248,198,12,71.0,21.0,18.0
10,790.0,1750,2.0,7161922,221,220,215,162,8,64.0,21.0,15.0
10,860.0,1750,2.0,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,1750,2.0,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,1750,2.0,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,2750,2.0,125610791,413,405,442,517,116,184.0,49.0,35.0
10,370.0,2750,2.0,89102313,395,388,416,468,81,153.0,41.0,32.0
10,440.0,2750,2.0,60570356,380,372,392,395,57,123.0,39.0,28.0
10,510.0,2750,2.0,40289072,348,342,354,343,42,98.0,32.0,26.0
10,580.0,2750,2.0,26436480,320,315,310,283,24,91.0,29.0,23.0
10,650.0,2750,2.0,17135680,290,288,286,233,21,78.0,25.0,19.0
10,720.0,2750,2.0,11070778,249,248,248,198,12,71.0,21.0,18.0
10,790.0,2750,2.0,7161922,221,220,215,162,8,64.0,21.0,15.0
