NumFiles,MinPT,MinP,MinIPChi2,#1.TotalTrueXiccpp,#1.TotalTrueXiccppTracks,#1.TotalXiccppTracks,#1.TotalBackgroundTracks,#2.TotalTruePions,#2.TotalTrueXiccppPions,#2.TotalXiccppPions,#2.TotalBackgroundPions,#3.TotalTrueKaons,#3.TotalTrueXiccppKaons,#3.TotalXiccppKaons,#3.TotalBackgroundKaons
10,580,500,0.0,0,5782,3275,220817,615339,2887,1032,147869,87865,1912,1324,35918
10,580,750,0.0,0,5782,3275,220817,615339,2887,1032,147869,87865,1912,1324,35918
10,580,1000,0.0,0,5782,3275,220817,615339,2887,1032,147869,87865,1912,1324,35918
10,580,1250,0.0,0,5782,3275,220817,615339,2887,1032,147869,87865,1912,1324,35918
10,580,1500,0.0,0,5782,3275,220817,615339,2887,1032,147869,87865,1912,1324,35918
10,580,2000,0.0,0,5782,3275,220817,615339,2887,1032,147869,87865,1912,1324,35918
10,580,1750,0.0,0,5782,3275,220817,615339,2887,1032,147869,87865,1912,1324,35918
10,580,2250,0.0,0,5782,3275,220754,615339,2887,1032,147823,87865,1912,1324,35907
10,580,2750,0.0,0,5782,3262,217585,615339,2887,1023,145383,87865,1912,1320,35506
10,580,2500,0.0,0,5782,3273,219615,615339,2887,1030,146935,87865,1912,1324,35765
10,580,3000,0.0,0,5782,3251,214765,615339,2887,1019,143243,87865,1912,1313,35131
10,580,3250,0.0,0,5782,3238,211520,615339,2887,1013,140859,87865,1912,1306,34673
10,650,500,0.0,0,5782,2992,185321,615339,2887,876,121572,87865,1912,1215,30932
10,580,3500,0.0,0,5782,3221,208100,615339,2887,1001,138396,87865,1912,1301,34143
10,580,3750,0.0,0,5782,3204,204525,615339,2887,987,135770,87865,1912,1298,33650
10,650,1000,0.0,0,5782,2992,185321,615339,2887,876,121572,87865,1912,1215,30932
10,650,750,0.0,0,5782,2992,185321,615339,2887,876,121572,87865,1912,1215,30932
10,650,1250,0.0,0,5782,2992,185321,615339,2887,876,121572,87865,1912,1215,30932
10,650,1500,0.0,0,5782,2992,185321,615339,2887,876,121572,87865,1912,1215,30932
10,650,1750,0.0,0,5782,2992,185321,615339,2887,876,121572,87865,1912,1215,30932
10,650,2000,0.0,0,5782,2992,185321,615339,2887,876,121572,87865,1912,1215,30932
10,650,2250,0.0,0,5782,2992,185321,615339,2887,876,121572,87865,1912,1215,30932
10,650,2500,0.0,0,5782,2992,185286,615339,2887,876,121547,87865,1912,1215,30925
10,650,3000,0.0,0,5782,2983,182978,615339,2887,871,119810,87865,1912,1211,30616
10,650,2750,0.0,0,5782,2990,184553,615339,2887,874,120999,87865,1912,1215,30823
10,650,3250,0.0,0,5782,2976,180851,615339,2887,868,118280,87865,1912,1207,30296
10,650,3500,0.0,0,5782,2966,178455,615339,2887,862,116562,87865,1912,1203,29923
10,650,3750,0.0,0,5782,2955,175831,615339,2887,854,114661,87865,1912,1200,29561
10,720,500,0.0,0,5782,2724,156938,615339,2887,757,101089,87865,1912,1094,26790
10,720,750,0.0,0,5782,2724,156938,615339,2887,757,101089,87865,1912,1094,26790
10,720,1000,0.0,0,5782,2724,156938,615339,2887,757,101089,87865,1912,1094,26790
10,720,1250,0.0,0,5782,2724,156938,615339,2887,757,101089,87865,1912,1094,26790
10,720,1500,0.0,0,5782,2724,156938,615339,2887,757,101089,87865,1912,1094,26790
10,720,1750,0.0,0,5782,2724,156938,615339,2887,757,101089,87865,1912,1094,26790
10,720,2000,0.0,0,5782,2724,156938,615339,2887,757,101089,87865,1912,1094,26790
10,720,2250,0.0,0,5782,2724,156938,615339,2887,757,101089,87865,1912,1094,26790
10,720,2750,0.0,0,5782,2724,156930,615339,2887,757,101084,87865,1912,1094,26788
10,720,2500,0.0,0,5782,2724,156938,615339,2887,757,101089,87865,1912,1094,26790
10,720,3000,0.0,0,5782,2721,156424,615339,2887,756,100711,87865,1912,1092,26717
10,720,3250,0.0,0,5782,2719,155229,615339,2887,754,99858,87865,1912,1092,26533
10,720,3500,0.0,0,5782,2712,153653,615339,2887,749,98740,87865,1912,1090,26279
10,720,3750,0.0,0,5782,2705,151797,615339,2887,744,97400,87865,1912,1088,26027
10,790,750,0.0,0,5782,2468,133671,615339,2887,650,84734,87865,1912,974,23086
10,790,500,0.0,0,5782,2468,133671,615339,2887,650,84734,87865,1912,974,23086
10,790,1000,0.0,0,5782,2468,133671,615339,2887,650,84734,87865,1912,974,23086
10,790,1250,0.0,0,5782,2468,133671,615339,2887,650,84734,87865,1912,974,23086
10,790,1500,0.0,0,5782,2468,133671,615339,2887,650,84734,87865,1912,974,23086
10,790,1750,0.0,0,5782,2468,133671,615339,2887,650,84734,87865,1912,974,23086
10,790,2000,0.0,0,5782,2468,133671,615339,2887,650,84734,87865,1912,974,23086
10,790,2250,0.0,0,5782,2468,133671,615339,2887,650,84734,87865,1912,974,23086
10,790,2500,0.0,0,5782,2468,133671,615339,2887,650,84734,87865,1912,974,23086
10,790,2750,0.0,0,5782,2468,133671,615339,2887,650,84734,87865,1912,974,23086
10,790,3000,0.0,0,5782,2468,133665,615339,2887,650,84729,87865,1912,974,23086
10,790,3250,0.0,0,5782,2466,133257,615339,2887,648,84445,87865,1912,974,23016
10,790,3500,0.0,0,5782,2463,132395,615339,2887,645,83835,87865,1912,974,22884
10,790,3750,0.0,0,5782,2459,131172,615339,2887,642,82945,87865,1912,973,22726
10,860,500,0.0,0,5782,2264,114377,615339,2887,571,71308,87865,1912,878,20070
10,860,750,0.0,0,5782,2264,114377,615339,2887,571,71308,87865,1912,878,20070
10,860,1000,0.0,0,5782,2264,114377,615339,2887,571,71308,87865,1912,878,20070
10,860,1250,0.0,0,5782,2264,114377,615339,2887,571,71308,87865,1912,878,20070
10,860,1500,0.0,0,5782,2264,114377,615339,2887,571,71308,87865,1912,878,20070
10,860,1750,0.0,0,5782,2264,114377,615339,2887,571,71308,87865,1912,878,20070
10,860,2000,0.0,0,5782,2264,114377,615339,2887,571,71308,87865,1912,878,20070
10,860,2250,0.0,0,5782,2264,114377,615339,2887,571,71308,87865,1912,878,20070
10,860,2500,0.0,0,5782,2264,114377,615339,2887,571,71308,87865,1912,878,20070
10,860,2750,0.0,0,5782,2264,114377,615339,2887,571,71308,87865,1912,878,20070
10,860,3000,0.0,0,5782,2264,114376,615339,2887,571,71307,87865,1912,878,20070
10,860,3250,0.0,0,5782,2264,114375,615339,2887,571,71306,87865,1912,878,20070
10,860,3500,0.0,0,5782,2262,114110,615339,2887,569,71132,87865,1912,878,20025
10,860,3750,0.0,0,5782,2260,113446,615339,2887,567,70649,87865,1912,878,19940
10,930,500,0.0,0,5782,2084,98873,615339,2887,511,60686,87865,1912,799,17625
10,930,750,0.0,0,5782,2084,98873,615339,2887,511,60686,87865,1912,799,17625
10,930,1000,0.0,0,5782,2084,98873,615339,2887,511,60686,87865,1912,799,17625
10,930,1250,0.0,0,5782,2084,98873,615339,2887,511,60686,87865,1912,799,17625
10,930,1500,0.0,0,5782,2084,98873,615339,2887,511,60686,87865,1912,799,17625
10,930,1750,0.0,0,5782,2084,98873,615339,2887,511,60686,87865,1912,799,17625
10,930,2000,0.0,0,5782,2084,98873,615339,2887,511,60686,87865,1912,799,17625
10,930,2250,0.0,0,5782,2084,98873,615339,2887,511,60686,87865,1912,799,17625
10,930,2500,0.0,0,5782,2084,98873,615339,2887,511,60686,87865,1912,799,17625
10,930,2750,0.0,0,5782,2084,98873,615339,2887,511,60686,87865,1912,799,17625
10,930,3000,0.0,0,5782,2084,98873,615339,2887,511,60686,87865,1912,799,17625
10,930,3250,0.0,0,5782,2084,98873,615339,2887,511,60686,87865,1912,799,17625
10,930,3750,0.0,0,5782,2083,98647,615339,2887,510,60521,87865,1912,799,17595
10,930,3500,0.0,0,5782,2084,98873,615339,2887,511,60686,87865,1912,799,17625
10,300,500,0.5,0,5782,4482,427611,615339,2887,1836,312173,87865,1912,1698,59104
10,300,750,0.5,0,5782,4482,427611,615339,2887,1836,312173,87865,1912,1698,59104
10,300,1250,0.5,0,5782,4480,426925,615339,2887,1834,311606,87865,1912,1698,59032
10,300,1000,0.5,0,5782,4482,427610,615339,2887,1836,312172,87865,1912,1698,59104
10,300,1500,0.5,0,5782,4466,422226,615339,2887,1820,307716,87865,1912,1698,58568
10,300,1750,0.5,0,5782,4451,414881,615339,2887,1807,301692,87865,1912,1696,57822
10,300,2000,0.5,0,5782,4431,405854,615339,2887,1790,294355,87865,1912,1693,56908
10,300,2250,0.5,0,5782,4396,396132,615339,2887,1762,286574,87865,1912,1686,55830
10,300,2500,0.5,0,5782,4363,386042,615339,2887,1733,278529,87865,1912,1682,54730
10,300,2750,0.5,0,5782,4308,376003,615339,2887,1690,270635,87865,1912,1670,53570
10,300,3000,0.5,0,5782,4263,366062,615339,2887,1662,262816,87865,1912,1653,52413
10,300,3250,0.5,0,5782,4215,356369,615339,2887,1632,255309,87865,1912,1635,51214
10,300,3500,0.5,0,5782,4173,347015,615339,2887,1603,248179,87865,1912,1622,50031
10,300,3750,0.5,0,5782,4120,337907,615339,2887,1568,241168,87865,1912,1604,48917
10,370,500,0.5,0,5782,4141,355354,615339,2887,1588,253589,87865,1912,1611,51728
10,370,1500,0.5,0,5782,4140,354959,615339,2887,1587,253257,87865,1912,1611,51696
10,370,1750,0.5,0,5782,4133,351861,615339,2887,1581,250753,87865,1912,1610,51345
10,370,1250,0.5,0,5782,4141,355352,615339,2887,1588,253588,87865,1912,1611,51728
10,370,750,0.5,0,5782,4141,355354,615339,2887,1588,253589,87865,1912,1611,51728
10,370,1000,0.5,0,5782,4141,355354,615339,2887,1588,253589,87865,1912,1611,51728
10,370,3000,0.5,0,5782,4014,317806,615339,2887,1490,224041,87865,1912,1582,47352
10,370,2000,0.5,0,5782,4125,346509,615339,2887,1573,246467,87865,1912,1610,50776
10,370,2750,0.5,0,5782,4047,325354,615339,2887,1510,229907,87865,1912,1595,48265
10,370,2500,0.5,0,5782,4080,332725,615339,2887,1535,235606,87865,1912,1603,49183
