NumFiles,MinPT,MinP,MinIPChi2,#LambdaCandidates,#Lambdas,#XiLambdas,#XiKaons,#XiPions,#Xis,#Pion,#Kaon,#Proton
10,300.0,500,4.5,172021956,421,412,450,566,129,215.0,51.0,38.0
10,370.0,500,4.5,110921934,400,392,421,491,86,171.0,42.0,33.0
10,440.0,500,4.5,69851416,382,374,396,408,58,131.0,39.0,29.0
10,510.0,500,4.5,43608542,350,344,355,349,42,103.0,32.0,27.0
10,580.0,500,4.5,27414767,321,316,311,284,24,93.0,29.0,23.0
10,650.0,500,4.5,17319422,290,288,286,234,21,78.0,25.0,19.0
10,720.0,500,4.5,11069989,249,248,248,198,12,71.0,21.0,18.0
10,790.0,500,4.5,7160801,221,220,215,162,8,64.0,21.0,15.0
10,860.0,500,4.5,4726990,197,196,191,137,6,54.0,19.0,15.0
10,930.0,500,4.5,3178290,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,500,4.5,2153197,144,143,157,93,4,42.0,12.0,13.0
10,300.0,750,4.5,172021956,421,412,450,566,129,215.0,51.0,38.0
10,370.0,750,4.5,110921934,400,392,421,491,86,171.0,42.0,33.0
10,440.0,750,4.5,69851416,382,374,396,408,58,131.0,39.0,29.0
10,510.0,750,4.5,43608542,350,344,355,349,42,103.0,32.0,27.0
10,580.0,750,4.5,27414767,321,316,311,284,24,93.0,29.0,23.0
10,650.0,750,4.5,17319422,290,288,286,234,21,78.0,25.0,19.0
10,720.0,750,4.5,11069989,249,248,248,198,12,71.0,21.0,18.0
10,790.0,750,4.5,7160801,221,220,215,162,8,64.0,21.0,15.0
10,860.0,750,4.5,4726990,197,196,191,137,6,54.0,19.0,15.0
10,930.0,750,4.5,3178290,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,750,4.5,2153197,144,143,157,93,4,42.0,12.0,13.0
10,300.0,1000,4.5,172021956,421,412,450,566,129,215.0,51.0,38.0
10,370.0,1000,4.5,110921934,400,392,421,491,86,171.0,42.0,33.0
10,440.0,1000,4.5,69851416,382,374,396,408,58,131.0,39.0,29.0
10,510.0,1000,4.5,43608542,350,344,355,349,42,103.0,32.0,27.0
10,580.0,1000,4.5,27414767,321,316,311,284,24,93.0,29.0,23.0
10,650.0,1000,4.5,17319422,290,288,286,234,21,78.0,25.0,19.0
10,720.0,1000,4.5,11069989,249,248,248,198,12,71.0,21.0,18.0
10,790.0,1000,4.5,7160801,221,220,215,162,8,64.0,21.0,15.0
10,860.0,1000,4.5,4726990,197,196,191,137,6,54.0,19.0,15.0
10,930.0,1000,4.5,3178290,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,1000,4.5,2153197,144,143,157,93,4,42.0,12.0,13.0
10,300.0,1250,4.5,171294086,421,412,450,566,129,215.0,51.0,38.0
10,370.0,1250,4.5,110918528,400,392,421,491,86,171.0,42.0,33.0
10,440.0,1250,4.5,69851416,382,374,396,408,58,131.0,39.0,29.0
10,510.0,1250,4.5,43608542,350,344,355,349,42,103.0,32.0,27.0
10,580.0,1250,4.5,27414767,321,316,311,284,24,93.0,29.0,23.0
10,650.0,1250,4.5,17319422,290,288,286,234,21,78.0,25.0,19.0
10,720.0,1250,4.5,11069989,249,248,248,198,12,71.0,21.0,18.0
10,790.0,1250,4.5,7160801,221,220,215,162,8,64.0,21.0,15.0
10,860.0,1250,4.5,4726990,197,196,191,137,6,54.0,19.0,15.0
10,930.0,1250,4.5,3178290,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,1250,4.5,2153197,144,143,157,93,4,42.0,12.0,13.0
10,300.0,1500,4.5,166804435,421,412,450,565,129,209.0,50.0,38.0
10,370.0,1500,4.5,110669389,400,392,421,491,86,169.0,42.0,33.0
10,440.0,1500,4.5,69851416,382,374,396,408,58,131.0,39.0,29.0
10,510.0,1500,4.5,43608542,350,344,355,349,42,103.0,32.0,27.0
10,580.0,1500,4.5,27414767,321,316,311,284,24,93.0,29.0,23.0
10,650.0,1500,4.5,17319422,290,288,286,234,21,78.0,25.0,19.0
10,720.0,1500,4.5,11069989,249,248,248,198,12,71.0,21.0,18.0
10,790.0,1500,4.5,7160801,221,220,215,162,8,64.0,21.0,15.0
10,860.0,1500,4.5,4726990,197,196,191,137,6,54.0,19.0,15.0
10,930.0,1500,4.5,3178290,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,1500,4.5,2153197,144,143,157,93,4,42.0,12.0,13.0
10,300.0,2500,4.5,134095761,416,408,445,531,119,190.0,49.0,38.0
10,370.0,2500,4.5,94289276,397,390,418,473,81,158.0,41.0,33.0
10,440.0,2500,4.5,63573392,382,374,394,397,57,125.0,39.0,29.0
10,510.0,2500,4.5,41771869,350,344,355,345,42,100.0,32.0,27.0
10,580.0,2500,4.5,27062280,321,316,311,284,24,92.0,29.0,23.0
10,650.0,2500,4.5,17310142,290,288,286,234,21,78.0,25.0,19.0
10,720.0,2500,4.5,11069989,249,248,248,198,12,71.0,21.0,18.0
10,790.0,2500,4.5,7160801,221,220,215,162,8,64.0,21.0,15.0
10,860.0,2500,4.5,4726990,197,196,191,137,6,54.0,19.0,15.0
10,930.0,2500,4.5,3178290,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,2500,4.5,2153197,144,143,157,93,4,42.0,12.0,13.0
10,300.0,1750,4.5,159974937,421,412,450,559,127,205.0,50.0,38.0
10,370.0,1750,4.5,108220369,400,392,421,489,85,168.0,42.0,33.0
10,440.0,1750,4.5,69732778,382,374,396,408,58,131.0,39.0,29.0
10,510.0,1750,4.5,43608542,350,344,355,349,42,103.0,32.0,27.0
10,580.0,1750,4.5,27414767,321,316,311,284,24,93.0,29.0,23.0
10,650.0,1750,4.5,17319422,290,288,286,234,21,78.0,25.0,19.0
10,720.0,1750,4.5,11069989,249,248,248,198,12,71.0,21.0,18.0
10,790.0,1750,4.5,7160801,221,220,215,162,8,64.0,21.0,15.0
10,860.0,1750,4.5,4726990,197,196,191,137,6,54.0,19.0,15.0
10,930.0,1750,4.5,3178290,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,1750,4.5,2153197,144,143,157,93,4,42.0,12.0,13.0
10,300.0,2250,4.5,143148005,416,408,448,538,123,196.0,49.0,38.0
10,370.0,2250,4.5,99677444,397,390,421,475,82,161.0,41.0,33.0
10,440.0,2250,4.5,66367321,382,374,396,397,57,127.0,39.0,29.0
10,510.0,2250,4.5,42945558,350,344,355,345,42,102.0,32.0,27.0
10,580.0,2250,4.5,27394699,321,316,311,284,24,93.0,29.0,23.0
10,650.0,2250,4.5,17319422,290,288,286,234,21,78.0,25.0,19.0
10,720.0,2250,4.5,11069989,249,248,248,198,12,71.0,21.0,18.0
10,790.0,2250,4.5,7160801,221,220,215,162,8,64.0,21.0,15.0
10,860.0,2250,4.5,4726990,197,196,191,137,6,54.0,19.0,15.0
10,930.0,2250,4.5,3178290,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,2250,4.5,2153197,144,143,157,93,4,42.0,12.0,13.0
10,300.0,2000,4.5,151945078,419,411,449,551,126,199.0,50.0,38.0
10,370.0,2000,4.5,104408638,399,392,421,485,84,164.0,42.0,33.0
10,440.0,2000,4.5,68542770,382,374,396,406,58,128.0,39.0,29.0
10,510.0,2000,4.5,43564947,350,344,355,348,42,103.0,32.0,27.0
10,580.0,2000,4.5,27414767,321,316,311,284,24,93.0,29.0,23.0
10,650.0,2000,4.5,17319422,290,288,286,234,21,78.0,25.0,19.0
10,720.0,2000,4.5,11069989,249,248,248,198,12,71.0,21.0,18.0
10,790.0,2000,4.5,7160801,221,220,215,162,8,64.0,21.0,15.0
10,860.0,2000,4.5,4726990,197,196,191,137,6,54.0,19.0,15.0
10,930.0,2000,4.5,3178290,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,2000,4.5,2153197,144,143,157,93,4,42.0,12.0,13.0
10,300.0,3000,4.5,116973600,410,402,436,511,115,176.0,45.0,34.0
10,370.0,3000,4.5,83702224,392,385,413,464,80,147.0,38.0,31.0
10,440.0,3000,4.5,57369808,377,369,389,392,56,119.0,37.0,27.0
