NumFiles,MinPT,MinP,MinIPChi2,#Lambdas,#XiLambdas,#XiKaons,#XiPions,#Xis,#Pion,#Kaon,#Proton
10,50,1800,5,0.9913793103448276,0.8968253968253969,0.9959432048681541,0.8643371017471737,0.7669172932330827,245842,39608,31105
10,50,2000,5,0.9892241379310345,0.8948412698412699,0.9939148073022313,0.8376156217882836,0.7268170426065163,237600,38807,30547
10,50,1600,5,0.9935344827586207,0.8988095238095238,0.9959432048681541,0.8869475847893115,0.8020050125313283,254524,40410,31658
10,50,800,5,0.9978448275862069,0.9027777777777778,1.0,0.9701952723535457,0.949874686716792,289288,43067,33859
10,50,1000,5,0.9978448275862069,0.9027777777777778,0.9979716024340771,0.9527235354573484,0.9097744360902256,280902,42511,33392
10,50,1200,5,0.9978448275862069,0.9027777777777778,0.9979716024340771,0.9301130524152107,0.87468671679198,272280,41918,32845
10,50,2200,5,0.9827586206896551,0.8888888888888888,0.9878296146044625,0.8057553956834532,0.6716791979949874,229739,37973,29991
10,50,1400,5,0.9956896551724138,0.9007936507936508,0.9979716024340771,0.9095580678314491,0.8471177944862155,263161,41225,32265
10,100,1200,5,0.9956896551724138,0.9007936507936508,0.9959432048681541,0.8890030832476875,0.8095238095238095,262438,41231,32334
10,100,800,5,0.9956896551724138,0.9007936507936508,0.9959432048681541,0.920863309352518,0.8696741854636592,276446,42212,33148
10,100,2200,5,0.9806034482758621,0.8869047619047619,0.9858012170385395,0.7852004110996916,0.6416040100250626,224235,37576,29736
10,100,1600,5,0.9913793103448276,0.8968253968253969,0.9939148073022313,0.8540596094552929,0.7518796992481203,246814,39869,31299
10,100,2000,5,0.9870689655172413,0.8928571428571429,0.9918864097363083,0.8119218910585817,0.6892230576441103,231468,38370,30264
10,100,1000,5,0.9956896551724138,0.9007936507936508,0.9959432048681541,0.9075025693730729,0.8395989974937343,269741,41758,32789
10,100,1800,5,0.9892241379310345,0.8948412698412699,0.9939148073022313,0.8345323741007195,0.7192982456140351,238999,39122,30795
10,100,1400,5,0.9935344827586207,0.8988095238095238,0.9959432048681541,0.8715313463514902,0.7844611528822055,254510,40607,31852
10,150,1200,5,0.9870689655172413,0.8928571428571429,0.9837728194726166,0.8252826310380267,0.6942355889724311,245069,39939,31427
10,150,1600,5,0.9827586206896551,0.8888888888888888,0.9837728194726166,0.7975334018499486,0.656641604010025,232259,38752,30562
10,150,1000,5,0.9870689655172413,0.8928571428571429,0.9837728194726166,0.8365878725590956,0.7092731829573935,250682,40359,31785
