NumFiles,MinPT,MinP,MinIPChi2,#LambdaCandidates,#Lambdas,#XiLambdas,#XiKaons,#XiPions,#Xis,#Pion,#Kaon,#Proton
10,300.0,750,2.5,172052339,421,412,450,566,129,215.0,51.0,38.0
10,370.0,750,2.5,110943955,400,392,421,491,86,171.0,42.0,33.0
10,440.0,750,2.5,69863467,382,374,396,408,58,131.0,39.0,29.0
10,510.0,750,2.5,43615857,350,344,355,349,42,103.0,32.0,27.0
10,580.0,750,2.5,27419761,321,316,311,284,24,93.0,29.0,23.0
10,650.0,750,2.5,17323334,290,288,286,234,21,78.0,25.0,19.0
10,720.0,750,2.5,11072346,249,248,248,198,12,71.0,21.0,18.0
10,790.0,750,2.5,7161922,221,220,215,162,8,64.0,21.0,15.0
10,860.0,750,2.5,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,750,2.5,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,750,2.5,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,500,2.5,172052339,421,412,450,566,129,215.0,51.0,38.0
10,370.0,500,2.5,110943955,400,392,421,491,86,171.0,42.0,33.0
10,440.0,500,2.5,69863467,382,374,396,408,58,131.0,39.0,29.0
10,510.0,500,2.5,43615857,350,344,355,349,42,103.0,32.0,27.0
10,580.0,500,2.5,27419761,321,316,311,284,24,93.0,29.0,23.0
10,650.0,500,2.5,17323334,290,288,286,234,21,78.0,25.0,19.0
10,720.0,500,2.5,11072346,249,248,248,198,12,71.0,21.0,18.0
10,790.0,500,2.5,7161922,221,220,215,162,8,64.0,21.0,15.0
10,860.0,500,2.5,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,500,2.5,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,500,2.5,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,1000,2.5,172052339,421,412,450,566,129,215.0,51.0,38.0
10,370.0,1000,2.5,110943955,400,392,421,491,86,171.0,42.0,33.0
10,440.0,1000,2.5,69863467,382,374,396,408,58,131.0,39.0,29.0
10,510.0,1000,2.5,43615857,350,344,355,349,42,103.0,32.0,27.0
10,580.0,1000,2.5,27419761,321,316,311,284,24,93.0,29.0,23.0
10,650.0,1000,2.5,17323334,290,288,286,234,21,78.0,25.0,19.0
10,720.0,1000,2.5,11072346,249,248,248,198,12,71.0,21.0,18.0
10,790.0,1000,2.5,7161922,221,220,215,162,8,64.0,21.0,15.0
10,860.0,1000,2.5,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,1000,2.5,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,1000,2.5,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,1250,2.5,171324338,421,412,450,566,129,215.0,51.0,38.0
10,370.0,1250,2.5,110940549,400,392,421,491,86,171.0,42.0,33.0
10,440.0,1250,2.5,69863467,382,374,396,408,58,131.0,39.0,29.0
10,510.0,1250,2.5,43615857,350,344,355,349,42,103.0,32.0,27.0
10,580.0,1250,2.5,27419761,321,316,311,284,24,93.0,29.0,23.0
10,650.0,1250,2.5,17323334,290,288,286,234,21,78.0,25.0,19.0
10,720.0,1250,2.5,11072346,249,248,248,198,12,71.0,21.0,18.0
10,790.0,1250,2.5,7161922,221,220,215,162,8,64.0,21.0,15.0
10,860.0,1250,2.5,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,1250,2.5,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,1250,2.5,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,1750,2.5,160003819,421,412,450,559,127,205.0,50.0,38.0
10,370.0,1750,2.5,108241970,400,392,421,489,85,168.0,42.0,33.0
10,440.0,1750,2.5,69744829,382,374,396,408,58,131.0,39.0,29.0
10,510.0,1750,2.5,43615857,350,344,355,349,42,103.0,32.0,27.0
10,580.0,1750,2.5,27419761,321,316,311,284,24,93.0,29.0,23.0
10,650.0,1750,2.5,17323334,290,288,286,234,21,78.0,25.0,19.0
10,720.0,1750,2.5,11072346,249,248,248,198,12,71.0,21.0,18.0
10,790.0,1750,2.5,7161922,221,220,215,162,8,64.0,21.0,15.0
10,860.0,1750,2.5,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,1750,2.5,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,1750,2.5,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,1500,2.5,166834214,421,412,450,565,129,209.0,50.0,38.0
10,370.0,1500,2.5,110691386,400,392,421,491,86,169.0,42.0,33.0
10,440.0,1500,2.5,69863467,382,374,396,408,58,131.0,39.0,29.0
10,510.0,1500,2.5,43615857,350,344,355,349,42,103.0,32.0,27.0
10,580.0,1500,2.5,27419761,321,316,311,284,24,93.0,29.0,23.0
10,650.0,1500,2.5,17323334,290,288,286,234,21,78.0,25.0,19.0
10,720.0,1500,2.5,11072346,249,248,248,198,12,71.0,21.0,18.0
10,790.0,1500,2.5,7161922,221,220,215,162,8,64.0,21.0,15.0
10,860.0,1500,2.5,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,1500,2.5,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,1500,2.5,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,2000,2.5,151973113,419,411,449,551,126,199.0,50.0,38.0
10,370.0,2000,2.5,104429640,399,392,421,485,84,164.0,42.0,33.0
10,440.0,2000,2.5,68554698,382,374,396,406,58,128.0,39.0,29.0
10,510.0,2000,2.5,43572262,350,344,355,348,42,103.0,32.0,27.0
10,580.0,2000,2.5,27419761,321,316,311,284,24,93.0,29.0,23.0
10,650.0,2000,2.5,17323334,290,288,286,234,21,78.0,25.0,19.0
10,720.0,2000,2.5,11072346,249,248,248,198,12,71.0,21.0,18.0
10,790.0,2000,2.5,7161922,221,220,215,162,8,64.0,21.0,15.0
10,860.0,2000,2.5,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,2000,2.5,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,2000,2.5,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,3000,2.5,116997262,410,402,436,511,115,176.0,45.0,34.0
10,370.0,3000,2.5,83720311,392,385,413,464,80,147.0,38.0,31.0
10,440.0,3000,2.5,57380445,377,369,389,392,56,119.0,37.0,27.0
10,510.0,3000,2.5,38495366,345,339,352,341,41,96.0,31.0,25.0
10,580.0,3000,2.5,25549982,317,312,309,283,23,91.0,28.0,23.0
10,650.0,3000,2.5,16747466,288,286,286,233,20,78.0,25.0,19.0
10,720.0,3000,2.5,10972444,248,247,248,198,12,71.0,21.0,18.0
10,790.0,3000,2.5,7160366,221,220,215,162,8,64.0,21.0,15.0
10,860.0,3000,2.5,4727770,197,196,191,137,6,54.0,19.0,15.0
10,300.0,2500,2.5,134121619,416,408,445,531,119,190.0,49.0,38.0
10,930.0,3000,2.5,3178691,164,163,172,119,5,43.0,14.0,14.0
10,370.0,2500,2.5,94308976,397,390,418,473,81,158.0,41.0,33.0
10,1000.0,3000,2.5,2153288,144,143,157,93,4,42.0,12.0,13.0
10,440.0,2500,2.5,63584738,382,374,394,397,57,125.0,39.0,29.0
10,510.0,2500,2.5,41778944,350,344,355,345,42,100.0,32.0,27.0
