cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,27751,142876989,1.0,0.278191569344895,0.00019419229900981592
lambdac_mass_limit,167,67653104,27445,3855827,0.9939519049688541,0.27512405393213374,0.007067493598182152
lambdac_vtx_chi2_ndof,897,3637135,26548,218692,0.9673164510839861,0.2661320234574708,0.10825313978143859
lambdac_vtx_chi2_distance,21,822,26527,217870,0.9992089799608257,0.2659215076938499,0.10854061220064076
lambdac_vtx_dira,172,97047,26355,120823,0.9935160402608663,0.2641972833441933,0.17906888257755915
lambdac_final_mass_cut,188,95627,26167,25196,0.9928666287232024,0.26231266603177783,0.5094523294978875
xi_track_cuts,0,0,11164,160972066,1.0,0.11191418976492407,6.934883838521565e-05
xi_mass,202,83980356,10962,795604,0.9819061268362594,0.10988922861009473,0.013590952259331537
xi_vtx_chi2_ndof,2360,570692,8602,224912,0.7847108191935778,0.08623126660317779,0.03683719177436899
xi_vtx_chi2_distance,4,448,8598,224464,0.9995349918623576,0.0861911683624881,0.03689147093906343
xi_vtx_dira,0,0,8598,224464,1.0,0.0861911683624881,0.03689147093906343
xi_final_mass,62,159154,8570,163754,0.9928174235403151,0.08591048067766027,0.04973190037371463
