NumFiles,MinPT,MinP,MinIPChi2,#1.TotalTrueXiccpp,#1.TotalTrueXiccppTracks,#1.TotalTrueXiLcDaughterTracks,#1.TotalXiccppTracks,#1.TotalXiLcDaughterTracks,#1.TotalBackgroundTracks,#1.TotalXiLcBackgroundTracks,#2.TotalTruePions,#2.TotalTrueXiccppPions,#2.TotalTrueBachelorPionTracks,#2.TotalXiccppPions,#2.TotalBachelorPionTracks,#2.TotalBackgroundPions,#2.TotalBachelorPionBackgroundTracks,#3.TotalTrueKaons,#3.TotalTrueXiccppKaons,#3.TotalTrueBachelorKaonTracks,#3.TotalXiccppKaons,#3.TotalBachelorKaonTracks,#3.TotalBackgroundKaons,#3.TotalBackgroundBachelorKaons
10,440,2000,0.0,0,5782,2865,3914,2311,315896,317499,615339,2887,1912,1400,819,220526,221107,87865,1912,966,1559,775,48120,48904
10,440,1750,0.0,0,5782,2865,3917,2313,318285,319889,615339,2887,1912,1403,820,222438,223021,87865,1912,966,1559,775,48385,49169
10,440,2500,0.0,0,5782,2865,3885,2304,306451,308032,615339,2887,1912,1375,799,213117,213693,87865,1912,966,1555,773,46948,47730
10,440,2750,0.0,0,5782,2865,3860,2296,300774,302338,615339,2887,1912,1356,785,208766,209337,87865,1912,966,1549,770,46211,46990
10,440,3250,0.0,0,5782,2865,3809,2270,288327,289866,615339,2887,1912,1326,767,199263,199822,87865,1912,966,1528,763,44576,45341
10,440,3000,0.0,0,5782,2865,3835,2284,294642,296193,615339,2887,1912,1342,777,204037,204602,87865,1912,966,1538,765,45433,46206
10,510,500,0.0,0,5782,2865,3612,2195,264453,265870,615339,2887,1912,1225,694,180902,181433,87865,1912,966,1446,715,41699,42430
10,510,750,0.0,0,5782,2865,3612,2195,264453,265870,615339,2887,1912,1225,694,180902,181433,87865,1912,966,1446,715,41699,42430
10,510,1000,0.0,0,5782,2865,3612,2195,264453,265870,615339,2887,1912,1225,694,180902,181433,87865,1912,966,1446,715,41699,42430
10,440,3500,0.0,0,5782,2865,3780,2261,282183,283702,615339,2887,1912,1307,755,194707,195259,87865,1912,966,1518,757,43720,44481
10,440,3750,0.0,0,5782,2865,3748,2251,275991,277488,615339,2887,1912,1285,736,190062,190611,87865,1912,966,1508,754,42907,43661
10,510,1250,0.0,0,5782,2865,3612,2195,264453,265870,615339,2887,1912,1225,694,180902,181433,87865,1912,966,1446,715,41699,42430
10,510,1750,0.0,0,5782,2865,3612,2195,264453,265870,615339,2887,1912,1225,694,180902,181433,87865,1912,966,1446,715,41699,42430
10,510,1500,0.0,0,5782,2865,3612,2195,264453,265870,615339,2887,1912,1225,694,180902,181433,87865,1912,966,1446,715,41699,42430
