NumFiles,MinPT,MinP,MinIPChi2,#1.TotalTrueXiccpp,#1.TotalTrueXiccppTracks,#1.TotalTrueXiLcDaughterTracks,#1.TotalXiccppTracks,#1.TotalXiLcDaughterTracks,#1.TotalBackgroundTracks,#1.TotalXiLcBackgroundTracks,#2.TotalTruePions,#2.TotalTrueXiccppPions,#2.TotalTrueBachelorPionTracks,#2.TotalXiccppPions,#2.TotalBachelorPionTracks,#2.TotalBackgroundPions,#2.TotalBachelorPionBackgroundTracks,#3.TotalTrueKaons,#3.TotalTrueXiccppKaons,#3.TotalTrueBachelorKaonTracks,#3.TotalXiccppKaons,#3.TotalBachelorKaonTracks,#3.TotalBackgroundKaons,#3.TotalBackgroundBachelorKaons
10,860.0,500,0.0,0.0,40.0,22.0,4.0,4.0,115956.0,115956.0,610074.0,32.0,18.0,2.0,0.0,70838.0,70840.0,88259.0,4.0,0.0,0.0,0.0,21156.0,21156.0
10,930.0,500,0.0,0.0,40.0,22.0,3.0,3.0,100100.0,100100.0,610074.0,32.0,18.0,1.0,0.0,60186.0,60187.0,88259.0,4.0,0.0,0.0,0.0,18461.0,18461.0
10,1000.0,500,0.0,0.0,40.0,22.0,2.0,2.0,86771.0,86771.0,610074.0,32.0,18.0,1.0,0.0,51366.0,51367.0,88259.0,4.0,0.0,0.0,0.0,16203.0,16203.0
10,160.0,1500,0.0,0.0,40.0,22.0,22.0,19.0,603416.0,603419.0,610074.0,32.0,18.0,15.0,3.0,452355.0,452367.0,88259.0,4.0,0.0,3.0,0.0,77464.0,77467.0
10,230.0,1500,0.0,0.0,40.0,22.0,21.0,19.0,533331.0,533333.0,610074.0,32.0,18.0,14.0,2.0,394266.0,394278.0,88259.0,4.0,0.0,3.0,0.0,72048.0,72051.0
10,300.0,1500,0.0,0.0,40.0,22.0,15.0,13.0,458187.0,458189.0,610074.0,32.0,18.0,9.0,2.0,332026.0,332033.0,88259.0,4.0,0.0,2.0,0.0,65306.0,65308.0
10,370.0,1500,0.0,0.0,40.0,22.0,11.0,10.0,385172.0,385173.0,610074.0,32.0,18.0,5.0,1.0,273117.0,273121.0,88259.0,4.0,0.0,2.0,0.0,57615.0,57617.0
10,440.0,1500,0.0,0.0,40.0,22.0,10.0,9.0,320315.0,320316.0,610074.0,32.0,18.0,5.0,1.0,221711.0,221715.0,88259.0,4.0,0.0,2.0,0.0,50065.0,50067.0
10,510.0,1500,0.0,0.0,40.0,22.0,7.0,7.0,266158.0,266158.0,610074.0,32.0,18.0,3.0,0.0,179961.0,179964.0,88259.0,4.0,0.0,1.0,0.0,43180.0,43181.0
10,580.0,1500,0.0,0.0,40.0,22.0,6.0,6.0,222159.0,222159.0,610074.0,32.0,18.0,3.0,0.0,146837.0,146840.0,88259.0,4.0,0.0,1.0,0.0,37218.0,37219.0
10,650.0,1500,0.0,0.0,40.0,22.0,6.0,6.0,186786.0,186786.0,610074.0,32.0,18.0,3.0,0.0,120768.0,120771.0,88259.0,4.0,0.0,1.0,0.0,32154.0,32155.0
10,720.0,1500,0.0,0.0,40.0,22.0,5.0,5.0,158246.0,158246.0,610074.0,32.0,18.0,3.0,0.0,100270.0,100273.0,88259.0,4.0,0.0,0.0,0.0,27860.0,27860.0
10,790.0,1500,0.0,0.0,40.0,22.0,5.0,5.0,134981.0,134981.0,610074.0,32.0,18.0,3.0,0.0,83937.0,83940.0,88259.0,4.0,0.0,0.0,0.0,24181.0,24181.0
10,860.0,1500,0.0,0.0,40.0,22.0,4.0,4.0,115956.0,115956.0,610074.0,32.0,18.0,2.0,0.0,70838.0,70840.0,88259.0,4.0,0.0,0.0,0.0,21156.0,21156.0
10,930.0,1500,0.0,0.0,40.0,22.0,3.0,3.0,100100.0,100100.0,610074.0,32.0,18.0,1.0,0.0,60186.0,60187.0,88259.0,4.0,0.0,0.0,0.0,18461.0,18461.0
10,1000.0,1500,0.0,0.0,40.0,22.0,2.0,2.0,86771.0,86771.0,610074.0,32.0,18.0,1.0,0.0,51366.0,51367.0,88259.0,4.0,0.0,0.0,0.0,16203.0,16203.0
10,160.0,1250,0.0,0.0,40.0,22.0,23.0,20.0,621192.0,621195.0,610074.0,32.0,18.0,15.0,3.0,467303.0,467315.0,88259.0,4.0,0.0,4.0,0.0,78931.0,78935.0
10,230.0,1250,0.0,0.0,40.0,22.0,22.0,20.0,544626.0,544628.0,610074.0,32.0,18.0,14.0,2.0,403730.0,403742.0,88259.0,4.0,0.0,4.0,0.0,73053.0,73057.0
10,300.0,1250,0.0,0.0,40.0,22.0,16.0,14.0,463299.0,463301.0,610074.0,32.0,18.0,9.0,2.0,336279.0,336286.0,88259.0,4.0,0.0,3.0,0.0,65803.0,65806.0
10,370.0,1250,0.0,0.0,40.0,22.0,11.0,10.0,385602.0,385603.0,610074.0,32.0,18.0,5.0,1.0,273468.0,273472.0,88259.0,4.0,0.0,2.0,0.0,57661.0,57663.0
10,440.0,1250,0.0,0.0,40.0,22.0,10.0,9.0,320317.0,320318.0,610074.0,32.0,18.0,5.0,1.0,221713.0,221717.0,88259.0,4.0,0.0,2.0,0.0,50065.0,50067.0
10,510.0,1250,0.0,0.0,40.0,22.0,7.0,7.0,266158.0,266158.0,610074.0,32.0,18.0,3.0,0.0,179961.0,179964.0,88259.0,4.0,0.0,1.0,0.0,43180.0,43181.0
10,580.0,1250,0.0,0.0,40.0,22.0,6.0,6.0,222159.0,222159.0,610074.0,32.0,18.0,3.0,0.0,146837.0,146840.0,88259.0,4.0,0.0,1.0,0.0,37218.0,37219.0
10,650.0,1250,0.0,0.0,40.0,22.0,6.0,6.0,186786.0,186786.0,610074.0,32.0,18.0,3.0,0.0,120768.0,120771.0,88259.0,4.0,0.0,1.0,0.0,32154.0,32155.0
10,720.0,1250,0.0,0.0,40.0,22.0,5.0,5.0,158246.0,158246.0,610074.0,32.0,18.0,3.0,0.0,100270.0,100273.0,88259.0,4.0,0.0,0.0,0.0,27860.0,27860.0
10,790.0,1250,0.0,0.0,40.0,22.0,5.0,5.0,134981.0,134981.0,610074.0,32.0,18.0,3.0,0.0,83937.0,83940.0,88259.0,4.0,0.0,0.0,0.0,24181.0,24181.0
10,860.0,1250,0.0,0.0,40.0,22.0,4.0,4.0,115956.0,115956.0,610074.0,32.0,18.0,2.0,0.0,70838.0,70840.0,88259.0,4.0,0.0,0.0,0.0,21156.0,21156.0
10,930.0,1250,0.0,0.0,40.0,22.0,3.0,3.0,100100.0,100100.0,610074.0,32.0,18.0,1.0,0.0,60186.0,60187.0,88259.0,4.0,0.0,0.0,0.0,18461.0,18461.0
10,1000.0,1250,0.0,0.0,40.0,22.0,2.0,2.0,86771.0,86771.0,610074.0,32.0,18.0,1.0,0.0,51366.0,51367.0,88259.0,4.0,0.0,0.0,0.0,16203.0,16203.0
10,160.0,1000,0.0,0.0,40.0,22.0,26.0,21.0,636687.0,636692.0,610074.0,32.0,18.0,18.0,5.0,480628.0,480641.0,88259.0,4.0,0.0,4.0,0.0,80062.0,80066.0
10,230.0,1000,0.0,0.0,40.0,22.0,22.0,20.0,552068.0,552070.0,610074.0,32.0,18.0,14.0,2.0,410150.0,410162.0,88259.0,4.0,0.0,4.0,0.0,73636.0,73640.0
10,300.0,1000,0.0,0.0,40.0,22.0,16.0,14.0,464011.0,464013.0,610074.0,32.0,18.0,9.0,2.0,336877.0,336884.0,88259.0,4.0,0.0,3.0,0.0,65866.0,65869.0
10,370.0,1000,0.0,0.0,40.0,22.0,11.0,10.0,385602.0,385603.0,610074.0,32.0,18.0,5.0,1.0,273468.0,273472.0,88259.0,4.0,0.0,2.0,0.0,57661.0,57663.0
10,440.0,1000,0.0,0.0,40.0,22.0,10.0,9.0,320317.0,320318.0,610074.0,32.0,18.0,5.0,1.0,221713.0,221717.0,88259.0,4.0,0.0,2.0,0.0,50065.0,50067.0
