cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,24890,68321545,1.0,0.2495113026915944,0.00036417407872115057
lambdac_mass_limit,151,32578456,24627,1633644,0.9939058842521592,0.2468748433662473,0.014851010480192923
lambdac_vtx_chi2_ndof,482,1544659,24145,88985,0.9804279855443213,0.2420430053631397,0.2134270308494652
lambdac_vtx_chi2_distance,392,32334,23753,56651,0.9837647546075792,0.2381133777755501,0.29542062583951045
lambdac_vtx_dira,171,19359,23582,37292,0.9928009093588178,0.23639917798606586,0.38739034727469857
lambdac_final_mass_cut,331,29389,23251,7903,0.9859638707488763,0.23308104856899403,0.7463247095076073
xi_track_cuts,0,0,9798,49377675,1.0,0.09822064056939502,0.0001983903894009722
xi_mass,168,25838424,9630,198034,0.9828536436007348,0.09653651446042805,0.0463729871330611
xi_vtx_chi2_ndof,1822,107392,7808,90642,0.8107995846313604,0.07827176582627438,0.07930929405789741
xi_vtx_chi2_distance,70,5006,7738,85636,0.9910348360655737,0.0775700466142048,0.08287103476342451
xi_vtx_dira,0,0,7738,85636,1.0,0.0775700466142048,0.08287103476342451
xi_final_mass,62,60370,7722,61148,0.9920349434737924,0.07740965365144604,0.1121242921446203
