cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,24890,68321545
lambdac_combined_momentum,0,0,24890,68321545
lambdac_charge,112,34109445,24778,34212100
lambdac_mass_limit,151,32578456,24627,1633644
lambdac_vtx_chi2_ndof,482,1544659,24145,88985
lambdac_vtx_chi2_distance,392,32334,23753,56651
lambdac_vtx_dira,171,19359,23582,37292
lambdac_final_mass_cut,331,29389,23251,7903
xi_track_cuts,0,0,9798,49377675
xi_miss_combo,0,0,9798,49377675
xi_charge_conservation,0,0,9798,49377675
xi_charge,0,23341217,9798,26036458
xi_minimum_momentum,0,0,9798,26036458
xi_mass,168,25838424,9630,198034
xi_vtx_chi2_ndof,1822,107392,7808,90642
xi_vtx_chi2_distance,70,5006,7738,85636
xi_vtx_dira,0,0,7738,85636
xi_final_mass,62,60370,7722,61148
