Momentum,Efficiency
1000000000000000000000000000000000000000000000000000000000000.00,0.90
10000000000000000000000000000000000000000000000000000000000000000000000.00,0.90
100000000000000000000000000000000000000000000000000000000000000000000000000000000.00,0.80
1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,0.75
10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00,0.70
