Momentum,Efficiency
1995.262315,0.825
6309.573445,0.825
10000,0.84
12589.25412,0.85
63095.73445,0.85
199526.2315,0.84
1000000,0.85
10000000,0.86
79432823.47,0.86
794328234.7,0.86
