cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,39336,1311421610,1.0,0.39353709169126105,2.999403079441757e-05
lambdac_mass_limit,239,638760153,38916,17176204,0.9938960541437876,0.38933520084037815,0.0022605709399644036
lambdac_vtx_chi2_ndof,336,15380041,38580,1796163,0.9913660191181005,0.38597368815967187,0.021027468152215324
lambdac_vtx_chi2_distance,8034,688888,30546,1107275,0.7917573872472784,0.30559751888349757,0.02684605047718402
lambdac_vtx_dira,640,537795,29906,569480,0.9790479931905978,0.2991946375869141,0.04989439192773939
lambdac_final_mass_cut,592,451678,29314,117802,0.9802046412091219,0.2932719723875744,0.19925772859512222
xi_track_cuts,0,0,13976,61551645,1.0,0.13982292031414137,0.00022700981120616002
xi_mass,3,29500126,13973,2088932,0.9997853463079565,0.13979290680806364,0.0066446178025160434
xi_vtx_chi2_ndof,1240,1659601,12733,429331,0.9112574250339941,0.12738732429593316,0.02880352166202179
xi_vtx_chi2_distance,302,8834,12431,420497,0.9762821016256971,0.12436596468410785,0.028713781506393674
xi_vtx_dira,0,0,12431,420497,1.0,0.12436596468410785,0.028713781506393674
xi_final_mass,17,360069,12424,266204,0.9986335503576883,0.12429593316992647,0.044589919175387974
