cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,39336,1311421610
lambdac_combined_momentum,0,0,39336,1311421610
lambdac_charge,181,655485253,39155,655936357
lambdac_mass_limit,239,638760153,38916,17176204
lambdac_vtx_chi2_ndof,336,15380041,38580,1796163
lambdac_vtx_chi2_distance,8034,688888,30546,1107275
lambdac_vtx_dira,640,537795,29906,569480
lambdac_final_mass_cut,592,451678,29314,117802
xi_track_cuts,0,0,13976,61551645
xi_miss_combo,0,0,13976,61551645
xi_charge_conservation,0,0,13976,61551645
xi_charge,0,29962587,13976,31589058
xi_minimum_momentum,0,0,13976,31589058
xi_mass,3,29500126,13973,2088932
xi_vtx_chi2_ndof,1240,1659601,12733,429331
xi_vtx_chi2_distance,302,8834,12431,420497
xi_vtx_dira,0,0,12431,420497
xi_final_mass,17,360069,12424,266204
