Variable,Value
lambdac_signal_combined_momentum_kills,5278.0
lambdac_bkg_combined_momentum_kills,62411671.0
lambdac_signal_combined_momentum_remaining,20277.0
lambdac_bkg_combined_momentum_remaining,42968203.0
lambdac_combined_momentum_purity,0.0004716845071051079
lambdac_signal_charge_kills,91.0
lambdac_bkg_charge_kills,21443911.0
lambdac_sig_charge_remaining,20186.0
lambdac_bkg_charge_remaining,21524292.0
lambdac_charge_efficiency,0.9955121566306653
lambdac_charge_purity,0.0009369454205389038
lambdac_mass_limit_signal_kills,70.0
lambdac_mass_limit_bkg_kills,20636355.0
lambdac_mass_limit_signal_remaining,20116.0
lambdac_mass_limit_bkg_remaining,887937.0
lambdac_mass_limit_efficiency,0.9965322500743089
lambdac_mass_limit_purity,0.022152891956746967
lambdac_vtx_chi2_ndof_signal_kills,357.0
lambdac_vtx_chi2_ndof_bkg_kills,808541.0
lambdac_vtx_chi2_ndof_signal_remaining,19759.0
lambdac_vtx_chi2_ndof_bkg_remaining,79396.0
lambdac_vtx_chi2_ndof_efficiency,0.9822529329886658
lambdac_vtx_chi2_ndof_purity,0.19927386415208515
lambdac_vtx_chi2_distance_sig_kills,30.0
lambdac_vtx_chi2_distance_bkg_kills,743.0
lambdac_vtx_chi2_distance_sig_remaining,19729.0
lambdac_vtx_chi2_distance_bkg_remaining,78653.0
lambdac_vtx_chi2_distance_efficiency,0.9984817045397034
lambdac_vtx_chi2_distance_purity,0.2005346506474761
lambdac_vtx_dira_sig_kills,215.0
lambdac_vtx_dira_bkg_kills,28187.0
lambdac_vtx_dira_sig_remaining,19514.0
lambdac_vtx_dira_bkg_remaining,50466.0
lambdac_vtx_dira_efficiency,0.989102336661767
lambdac_vtx_dira_purity,0.27885110031437554
lambdac_final_mass_cut_signal_kills,170.0
lambdac_final_mass_cut_bkg_kills,46086.0
lambdac_final_mass_cut_signal_remaining,19344.0
lambdac_final_mass_cut_bkg_remaining,4380.0
lambdac_final_mass_cut_efficiency,0.9912883058317106
lambdac_final_mass_cut_purity,0.8153768335862418
xiccpp_miss_combo_sig_kills,0.0
xiccpp_miss_combo_bkg_kills,0.0
xiccpp_miss_combo_sig_remaining,8876.0
xiccpp_miss_combo_bkg_remaining,49753914.0
xiccpp_miss_combo_efficiency,0.45885028949545076
xiccpp_miss_combo_purity,0.00017836620494948718
xi_charge_conservation_signal_kills,0.0
xi_charge_conservation_bkg_kills,0.0
xi_charge_conservation_signal_remaining,8876.0
xi_charge_conservation_bkg_remaining,49753914.0
xi_charge_conservation_efficiency,1.0
xi_charge_conservation_purity,0.00017836620494948718
xi_charge_sig_kills,2.0
xi_charge_bkg_kills,23599002.0
xi_charge_sig_remaining,8874.0
xi_charge_bkg_remaining,26154912.0
xi_charge_efficiency,0.9997746732762506
xi_charge_purity,0.000339171097026969
xi_signal_minimum_momentum_kills,2198.0
xi_bkg_minimum_momentum_kills,8626896.0
xi_sig_minimum_momentum_remaining,6676.0
xi_bkg_minimum_momentum_remaining,17528016.0
xi_minimum_momentum_efficiency,0.7523101194500789
xi_minimum_momentum_purity,0.00038073095324397954
xi_mass_sig_kills,2.0
xi_mass_bkg_kills,17302592.0
xi_mass_sig_remaining,6674.0
xi_mass_bkg_remaining,225424.0
xi_mass_efficiency,0.9997004194128221
xi_mass_purity,0.028755094830631878
xi_vtx_chi2_ndof_sig_kills,10.0
xi_vtx_chi2_ndof_bkg_kills,59926.0
xi_vtx_chi2_ndof_sig_remaining,6664.0
xi_vtx_chi2_ndof_bkg_remaining,165498.0
xi_vtx_chi2_ndof_efficiency,0.9985016481869943
xi_vtx_chi2_ndof_purity,0.0387077287670915
xi_vtx_chi2_distance_sig_kills,6.0
xi_chi2_disatance_bkg_kills,747.0
xi_vtx_chi2_distance_sig_remaining,6658.0
xi_chi2_disatance_bkg_remaining,164751.0
xi_vtx_chi2_distance_efficiency,0.9990996398559424
xi_vtx_chi2_distance_purity,0.03884276788266661
xi_vtx_dira_sig_kills,58.0
xi_vtx_dira_bkg_kills,12252.0
xi_vtx_dira_sig_remaining,6600.0
xi_vtx_dira_bkg_remaining,152499.0
xi_vtx_dira_efficiency,0.9912886752778612
xi_vtx_dira_purity,0.04148360454811151
