Variable,Value
lambdac_signal_combined_momentum_kills,301.0
lambdac_bkg_combined_momentum_kills,3467085.0
lambdac_signal_combined_momentum_remaining,1099.0
lambdac_bkg_combined_momentum_remaining,2402467.0
lambdac_combined_momentum_purity,0.0004572372882625242
lambdac_signal_charge_kills,6.0
lambdac_bkg_charge_kills,1199021.0
lambdac_sig_charge_remaining,1093.0
lambdac_bkg_charge_remaining,1203446.0
lambdac_charge_efficiency,0.9945404913557779
lambdac_charge_purity,0.0009074010887152317
lambdac_mass_limit_signal_kills,9.0
lambdac_mass_limit_bkg_kills,1154081.0
lambdac_mass_limit_signal_remaining,1084.0
lambdac_mass_limit_bkg_remaining,49365.0
lambdac_mass_limit_efficiency,0.9917657822506862
lambdac_mass_limit_purity,0.02148704632401044
lambdac_vtx_chi2_ndof_signal_kills,23.0
lambdac_vtx_chi2_ndof_bkg_kills,45023.0
lambdac_vtx_chi2_ndof_signal_remaining,1061.0
lambdac_vtx_chi2_ndof_bkg_remaining,4342.0
lambdac_vtx_chi2_ndof_efficiency,0.9787822878228782
lambdac_vtx_chi2_ndof_purity,0.19637238571164173
lambdac_vtx_chi2_distance_sig_kills,3.0
lambdac_vtx_chi2_distance_bkg_kills,30.0
lambdac_vtx_chi2_distance_sig_remaining,1058.0
lambdac_vtx_chi2_distance_bkg_remaining,4312.0
lambdac_vtx_chi2_distance_efficiency,0.9971724787935909
lambdac_vtx_chi2_distance_purity,0.19702048417132212
lambdac_vtx_dira_sig_kills,10.0
lambdac_vtx_dira_bkg_kills,1530.0
lambdac_vtx_dira_sig_remaining,1048.0
lambdac_vtx_dira_bkg_remaining,2782.0
lambdac_vtx_dira_efficiency,0.9905482041587902
lambdac_vtx_dira_purity,0.27362924281984335
lambdac_final_mass_cut_signal_kills,8.0
lambdac_final_mass_cut_bkg_kills,2546.0
lambdac_final_mass_cut_signal_remaining,1040.0
lambdac_final_mass_cut_bkg_remaining,236.0
lambdac_final_mass_cut_efficiency,0.9923664122137404
lambdac_final_mass_cut_purity,0.8150470219435737
xiccpp_miss_combo_sig_kills,0.0
xiccpp_miss_combo_bkg_kills,0.0
xiccpp_miss_combo_sig_remaining,454.0
xiccpp_miss_combo_bkg_remaining,2770810.0
xiccpp_miss_combo_efficiency,0.43653846153846154
xiccpp_miss_combo_purity,0.00016382416110483078
xi_charge_conservation_signal_kills,0.0
xi_charge_conservation_bkg_kills,0.0
xi_charge_conservation_signal_remaining,454.0
xi_charge_conservation_bkg_remaining,2770810.0
xi_charge_conservation_efficiency,1.0
xi_charge_conservation_purity,0.00016382416110483078
xi_charge_sig_kills,0.0
xi_charge_bkg_kills,1442458.0
xi_charge_sig_remaining,454.0
xi_charge_bkg_remaining,1328352.0
xi_charge_efficiency,1.0
xi_charge_purity,0.00034166010689296034
xi_signal_minimum_momentum_kills,122.0
xi_bkg_minimum_momentum_kills,439382.0
xi_sig_minimum_momentum_remaining,332.0
xi_bkg_minimum_momentum_remaining,888970.0
xi_minimum_momentum_efficiency,0.7312775330396476
xi_minimum_momentum_purity,0.0003733264965107841
xi_mass_sig_kills,0.0
xi_mass_bkg_kills,876528.0
xi_mass_sig_remaining,332.0
xi_mass_bkg_remaining,12442.0
xi_mass_efficiency,1.0
xi_mass_purity,0.025990292782213875
xi_vtx_chi2_ndof_sig_kills,0.0
xi_vtx_chi2_ndof_bkg_kills,3862.0
xi_vtx_chi2_ndof_sig_remaining,332.0
xi_vtx_chi2_ndof_bkg_remaining,8580.0
xi_vtx_chi2_ndof_efficiency,1.0
xi_vtx_chi2_ndof_purity,0.037253141831238734
xi_vtx_chi2_distance_sig_kills,2.0
xi_chi2_disatance_bkg_kills,62.0
xi_vtx_chi2_distance_sig_remaining,330.0
xi_chi2_disatance_bkg_remaining,8518.0
xi_vtx_chi2_distance_efficiency,0.9939759036144579
xi_vtx_chi2_distance_purity,0.037296564195298365
xi_vtx_dira_sig_kills,4.0
xi_vtx_dira_bkg_kills,462.0
xi_vtx_dira_sig_remaining,326.0
xi_vtx_dira_bkg_remaining,8056.0
xi_vtx_dira_efficiency,0.9878787878787879
xi_vtx_dira_purity,0.038892865664519216
