cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,36323,1949041025,1.0,0.3666952703043764,1.8635997200045446e-05
lambdac_mass_limit,237,949906639,35918,24896672,0.9934448900567003,0.3626066326788148,0.0014406044458277298
lambdac_vtx_chi2_ndof,491,20771773,35427,4124899,0.9863299738292778,0.35764979052041795,0.008515438453621182
lambdac_vtx_chi2_distance,7385,1176006,28042,2948893,0.7915431732859118,0.2830952501135733,0.009419755553950623
lambdac_vtx_dira,627,1476349,27415,1472544,0.9776406818343912,0.2767654333451113,0.01827716624254396
lambdac_final_mass_cut,563,1167940,26852,304604,0.9794637971913186,0.27108172227550353,0.08101226105425757
xi_track_cuts,0,0,12608,248865012,1.0,0.12728282267427188,5.06594365535961e-05
xi_mass,5,118017507,12602,9437405,0.9996033949393194,0.12722225026500428,0.0013335439857346137
xi_vtx_chi2_ndof,1183,7814153,11419,1623252,0.9061260117441676,0.1152793902377467,0.00698550350498663
xi_vtx_chi2_distance,226,41373,11193,1581879,0.9802084245555653,0.1129978294886679,0.007026047786917352
xi_vtx_dira,0,0,11193,1581879,1.0,0.1129978294886679,0.007026047786917352
xi_final_mass,17,1363061,11187,1094215,0.9984826847554444,0.11293725707940033,0.010120300126107968
