cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,36323,1949041025
lambdac_combined_momentum,0,0,36323,1949041025
lambdac_charge,168,974237714,36155,974803311
lambdac_mass_limit,237,949906639,35918,24896672
lambdac_vtx_chi2_ndof,491,20771773,35427,4124899
lambdac_vtx_chi2_distance,7385,1176006,28042,2948893
lambdac_vtx_dira,627,1476349,27415,1472544
lambdac_final_mass_cut,563,1167940,26852,304604
xi_track_cuts,0,0,12608,248865012
xi_miss_combo,0,0,12608,248865012
xi_charge_conservation,0,0,12608,248865012
xi_charge,1,121410100,12607,127454912
xi_minimum_momentum,0,0,12607,127454912
xi_mass,5,118017507,12602,9437405
xi_vtx_chi2_ndof,1183,7814153,11419,1623252
xi_vtx_chi2_distance,226,41373,11193,1581879
xi_vtx_dira,0,0,11193,1581879
xi_final_mass,17,1363061,11187,1094215
