cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,1400,5869552
lambdac_combined_momentum,98,2262356,1302,3607196
lambdac_charge,6,1800632,1296,1806564
lambdac_mass_limit,11,1703307,1285,103257
lambdac_vtx_chi2_ndof,25,94902,1260,8355
lambdac_vtx_chi2_distance,3,59,1257,8296
lambdac_vtx_dira,31,4618,1226,3678
lambdac_final_mass_cut,9,3357,1217,321
xi_track_cuts,0,0,514,3358884
xi_miss_combo,0,0,514,3358884
xi_charge_conservation,0,0,514,3358884
xi_charge,0,1742326,514,1616558
xi_minimum_momentum,134,563898,380,1052660
xi_mass,0,1037108,380,15552
xi_vtx_chi2_ndof,0,5336,380,10216
xi_vtx_chi2_distance,2,64,378,10152
xi_vtx_dira,4,552,374,9600
xi_final_mass,374,9600,374,9600
