cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,933,5521986
lambdac_combined_momentum,0,0,933,5521986
lambdac_charge,1,2759442,932,2762544
lambdac_mass_limit,7,2614716,925,147828
lambdac_vtx_chi2_ndof,21,140128,904,7700
lambdac_vtx_chi2_distance,5,42,899,7658
lambdac_vtx_dira,18,3498,881,4160
lambdac_final_mass_cut,8,3287,873,873
xi_track_cuts,0,0,426,798256
xi_miss_combo,0,0,426,798256
xi_charge_conservation,0,0,426,798256
xi_charge,167,579408,259,218848
xi_minimum_momentum,0,0,259,218848
xi_mass,0,207502,259,11346
xi_vtx_chi2_ndof,91,9387,168,1959
xi_vtx_chi2_distance,1,13,167,1946
xi_vtx_dira,0,0,167,1946
xi_final_mass,0,1353,167,1235
