cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,2017,65081686,1.0,0.4034,3.099086110696559e-05
lambdac_combined_momentum,0,0,2017,65081686,1.0,0.4034,3.099086110696559e-05
lambdac_charge,5,32530638,2012,32551048,0.9975210708973723,0.4024,6.180678559865033e-05
lambdac_mass_limit,8,31693977,2004,857071,0.9960238568588469,0.4008,0.0023327416116171464
lambdac_vtx_chi2_ndof,31,794549,1973,62522,0.9845309381237525,0.3946,0.03059151872238158
lambdac_vtx_chi2_distance,36,954,1937,61568,0.9817536746071972,0.3874,0.030501535312180143
lambdac_vtx_dira,102,29909,1835,31659,0.9473412493546721,0.367,0.05478593180868215
lambdac_final_mass_cut,16,25314,1819,6345,0.9912806539509537,0.3638,0.2228074473297403
xi_track_cuts,0,0,841,3115990,1.0,0.1682,0.0002698253450379568
xi_miss_combo,0,0,841,3115990,1.0,0.1682,0.0002698253450379568
xi_charge_conservation,0,0,841,3115990,1.0,0.1682,0.0002698253450379568
xi_charge,411,2289809,430,826181,0.5112960760998811,0.086,0.0005201963196715262
xi_minimum_momentum,0,0,430,826181,1.0,0.086,0.0005201963196715262
xi_mass,0,775246,430,50935,1.0,0.086,0.008371459164800935
xi_vtx_chi2_ndof,38,35570,392,15365,0.9116279069767442,0.0784,0.024877832074633496
xi_vtx_chi2_distance,5,162,387,15203,0.9872448979591837,0.0774,0.02482360487491982
xi_vtx_dira,0,0,387,15203,1.0,0.0774,0.02482360487491982
xi_final_mass,0,13036,387,9396,1.0,0.0774,0.03955841766329347
