cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,2017,65081686,1.0,0.4034,3.099086110696559e-05
lambdac_mass_limit,8,31693977,2004,857071,0.9960238568588469,0.4008,0.0023327416116171464
lambdac_vtx_chi2_ndof,38,800930,1966,56141,0.9810379241516967,0.3932,0.03383413358115201
lambdac_vtx_chi2_distance,45,1024,1921,55117,0.9771108850457783,0.3842,0.033679301518286055
lambdac_vtx_dira,101,26736,1820,28381,0.9474232170744404,0.364,0.06026290520181451
lambdac_final_mass_cut,15,22720,1805,5661,0.9917582417582418,0.361,0.24176265738012323
xi_track_cuts,0,0,833,2834095,1.0,0.1666,0.00029383462296044205
xi_mass,0,730257,428,20888,1.0,0.0856,0.020078814036404578
xi_vtx_chi2_ndof,86,14855,342,6033,0.7990654205607477,0.0684,0.05364705882352941
xi_vtx_chi2_distance,5,62,337,5971,0.9853801169590644,0.0674,0.05342422320862397
xi_vtx_dira,0,0,337,5971,1.0,0.0674,0.05342422320862397
xi_final_mass,0,4225,337,3939,1.0,0.0674,0.07881197380729654
