cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,2017,65081686,1.0,0.4034,3.099086110696559e-05
lambdac_mass_limit,8,31693977,2004,857071,0.9960238568588469,0.4008,0.0023327416116171464
lambdac_vtx_chi2_ndof,17,767995,1987,89076,0.9915169660678643,0.3974,0.02182005864072126
lambdac_vtx_chi2_distance,30,827,1957,88249,0.9849018621036739,0.3914,0.02169478748641997
lambdac_vtx_dira,105,43311,1852,44938,0.9463464486458866,0.3704,0.03958110707416115
lambdac_final_mass_cut,16,35839,1836,9099,0.9913606911447084,0.3672,0.16790123456790124
xi_track_cuts,0,0,848,4230139,1.0,0.1696,0.00020042604716109975
xi_mass,0,2038351,848,138554,1.0,0.1696,0.006083126497467755
xi_vtx_chi2_ndof,74,107140,774,31414,0.9127358490566038,0.1548,0.0240462284081024
xi_vtx_chi2_distance,2,71,772,31343,0.9974160206718347,0.1544,0.024038611240853183
xi_vtx_dira,0,0,772,31343,1.0,0.1544,0.024038611240853183
xi_final_mass,0,26757,772,19460,1.0,0.1544,0.03815737445630684
