cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,28126,129368004,1.0,0.28195077940955343,0.0002173635332061322
lambdac_mass_limit,173,61262848,27807,3492388,0.9938170121515368,0.27875294471455064,0.007899278307025605
lambdac_vtx_chi2_ndof,792,3302632,27015,189756,0.9715179631028158,0.27081349305799207,0.12462460384461022
lambdac_vtx_chi2_distance,31,924,26984,188832,0.9988524893577642,0.270502731692647,0.12503243503725395
lambdac_vtx_dira,174,82404,26810,106428,0.9935517343611029,0.2687584582226455,0.20121887149311757
lambdac_final_mass_cut,175,84262,26635,22166,0.9934725848563969,0.26700416019247153,0.54578799614762
xi_track_cuts,0,0,11226,129630438,1.0,0.11253571249561425,8.659253247474515e-05
xi_mass,190,67564106,11036,626506,0.9830750044539462,0.110631046062854,0.01731023211019823
xi_vtx_chi2_ndof,2394,433322,8642,193184,0.7830735773831098,0.08663224901007469,0.04281906196426625
xi_vtx_chi2_distance,10,524,8632,192660,0.9988428604489702,0.08653200340835046,0.04288297597520021
xi_vtx_dira,0,0,8632,192660,1.0,0.08653200340835046,0.04288297597520021
xi_final_mass,84,136606,8598,140494,0.9903248099516241,0.0861911683624881,0.057669090226169076
