cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,933,5521986
lambdac_combined_momentum,0,0,933,5521986
lambdac_charge,1,2759442,932,2762544
lambdac_mass_limit,7,2614716,925,147828
lambdac_vtx_chi2_ndof,21,140128,904,7700
lambdac_vtx_chi2_distance,4,28,900,7672
lambdac_vtx_dira,18,3501,882,4171
lambdac_final_mass_cut,8,3295,874,876
xi_track_cuts,0,0,426,799884
xi_miss_combo,0,0,426,799884
xi_charge_conservation,0,0,426,799884
xi_charge,167,580689,259,219195
xi_minimum_momentum,0,0,259,219195
xi_mass,0,207830,259,11365
xi_vtx_chi2_ndof,91,9404,168,1961
xi_vtx_chi2_distance,1,14,167,1947
xi_vtx_dira,0,0,167,1947
xi_final_mass,0,1354,167,1236
