cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,2017,65081686
lambdac_combined_momentum,0,0,2017,65081686
lambdac_charge,5,32530638,2012,32551048
lambdac_mass_limit,8,31693977,2004,857071
lambdac_vtx_chi2_ndof,17,767995,1987,89076
lambdac_vtx_chi2_distance,30,827,1957,88249
lambdac_vtx_dira,105,43311,1852,44938
lambdac_final_mass_cut,16,35839,1836,9099
xi_track_cuts,0,0,848,4230139
xi_miss_combo,0,0,848,4230139
xi_charge_conservation,0,0,848,4230139
xi_charge,0,2053234,848,2176905
xi_minimum_momentum,0,0,848,2176905
xi_mass,0,2038351,848,138554
xi_vtx_chi2_ndof,74,107140,774,31414
xi_vtx_chi2_distance,2,71,772,31343
xi_vtx_dira,0,0,772,31343
xi_final_mass,0,26757,772,19460
