cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,24611,73666670,1.0,0.24671445040348855,0.00033397438158253755
lambdac_mass_limit,163,35169327,24326,1718556,0.9933439503450529,0.24385745075434814,0.013957341919877537
lambdac_vtx_chi2_ndof,547,1619794,23779,98762,0.9775137712735344,0.23837401634003308,0.19404933858871726
lambdac_vtx_chi2_distance,398,33234,23381,65528,0.983262542579587,0.23438424139140895,0.26297675150997085
lambdac_vtx_dira,143,24055,23238,41473,0.9938839228433344,0.23295072928675253,0.35910432538517406
lambdac_final_mass_cut,356,32688,22882,8785,0.9846802650830536,0.22938198586537015,0.7225818675592889
xi_track_cuts,0,0,9530,60396866,1.0,0.0955340584431858,0.00015776475060687282
xi_mass,180,31280823,9350,236406,0.9811122770199371,0.09372963761214977,0.03804586663194388
xi_vtx_chi2_ndof,1708,136808,7642,99598,0.8173262032085562,0.07660768883765225,0.07126072361059306
xi_vtx_chi2_distance,74,6598,7568,93000,0.9903166710285266,0.075865871384893,0.07525256542836688
xi_vtx_dira,0,0,7568,93000,1.0,0.075865871384893,0.07525256542836688
xi_final_mass,74,65280,7542,66792,0.9902836134453782,0.07560523282041,0.10146097344418435
