cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,24611,73666670
lambdac_combined_momentum,0,0,24611,73666670
lambdac_charge,122,36778787,24489,36887883
lambdac_mass_limit,163,35169327,24326,1718556
lambdac_vtx_chi2_ndof,547,1619794,23779,98762
lambdac_vtx_chi2_distance,398,33234,23381,65528
lambdac_vtx_dira,143,24055,23238,41473
lambdac_final_mass_cut,356,32688,22882,8785
xi_track_cuts,0,0,9530,60396866
xi_miss_combo,0,0,9530,60396866
xi_charge_conservation,0,0,9530,60396866
xi_charge,0,28879637,9530,31517229
xi_minimum_momentum,0,0,9530,31517229
xi_mass,180,31280823,9350,236406
xi_vtx_chi2_ndof,1708,136808,7642,99598
xi_vtx_chi2_distance,74,6598,7568,93000
xi_vtx_dira,0,0,7568,93000
xi_final_mass,74,65280,7542,66792
